x,WaferMPW41_slot11_thinresist_strip_Chip1_WG1,WaferMPW41_slot11_thinresist_strip_Chip1_WG2,WaferMPW41_slot11_thinresist_strip_Chip1_WG3,WaferMPW41_slot11_thinresist_strip_Chip1_WG4,WaferMPW41_slot11_thinresist_strip_Chip1_WG5,WaferMPW41_slot11_thinresist_strip_Chip1_WG6,WaferMPW41_slot11_thinresist_strip_Chip33_WG1,WaferMPW41_slot11_thinresist_strip_Chip33_WG2,WaferMPW41_slot11_thinresist_strip_Chip33_WG3,WaferMPW41_slot11_thinresist_strip_Chip33_WG4,WaferMPW41_slot11_thinresist_strip_Chip33_WG5,WaferMPW41_slot11_thinresist_strip_Chip33_WG6
1529.9719,8.674531955e-7,,,,,,,,,,,
1529.9722000000002,,,,1.277675636e-7,,,,,,,,1.088100916e-7
1529.9723000000001,,,,,,,7.923589465e-7,,,,,
1529.9724999999999,,5.903274314e-7,,,,,,,,,,
1529.9727,,,3.060444556e-7,,,,,,,,,
1529.973,,,,,,,,5.29535896e-7,,,,
1529.9731,,,,,1.447585163e-7,,,,,2.359681019e-7,,
1529.9733,,,,,,,,,3.114068363e-7,,,
1529.9826,,,,,,1.123871343e-7,,,,,,
1529.9829,,,,,,,,,,,1.200768764e-7,
1529.9831000000001,8.924824897e-7,,,,,,,,,,,
1529.9834,,,,1.608529345e-7,,,,,,,,
1529.9836,,,,,,,,,,,,8.59179963e-8
1529.9837000000002,,5.59927571e-7,,,,,8.013001889e-7,,,,,
1529.9839,,,3.292875022e-7,,,,,,,,,
1529.9841000000001,,,,,1.025508354e-7,,,5.438413382e-7,,,,
1529.9844,,,,,,,,,,2.769229184e-7,,
1529.9847,,,,,,,,,3.364361305e-7,,,
1529.9938000000002,,,,,,1.649677159e-7,,,,,,
1529.9943,,,,,,,,,,,1.46009981e-7,
1529.9945,8.817586377e-7,,,,,,,,,,,
1529.9947,,,,,,,7.977204177e-7,,,,,8.00163988e-8
1529.9948,,,,1.306286066e-7,,,,,,,,
1529.9949000000001,,5.492028095e-7,,,,,,,,,,
1529.9950000000001,,,3.578929295e-7,,,,,,,,,
1529.9954,,,,,,,,5.61718366e-7,,,,
1529.9955,,,,,1.424322562e-7,,,,,,,
1529.9958,,,,,,,,,3.650451958e-7,2.890841131e-7,,
1530.0033,,,,,,1.461884693e-7,,,,,,
1530.0039000000002,,,,,,,,,,,1.728364367e-7,
1530.0040000000001,8.710256907e-7,,,,,,,,,,,
1530.0044,,,,,,,,,,,,1.002253711e-7
1530.0046000000002,,,,1.030875509e-7,,,,,,,,
1530.0047000000002,,,,,,,7.995103033e-7,,,,,
1530.0048,,5.420514526e-7,,,,,,,,,,
1530.005,,,3.739837098e-7,,,,,,,,,
1530.0054,,,,,1.663972142e-7,,,,,,,
1530.0056,,,,,,,,5.760219892e-7,,2.685190736e-7,,
1530.0057000000002,,,,,,,,,3.9007449e-7,,,
1530.0111,,,,,,9.23563093e-8,,,,,,
1530.0115,,,,,,,,,,,1.778443419e-7,
1530.0118,8.906926041e-7,,,,,,,,,,,
1530.0121,,,,9.73639871e-8,,,,,,,,
1530.0123,,,,,,,,,,,,9.05683564e-8
1530.0125,,,,,,,8.066625696e-7,,,,,
1530.0126000000002,,5.438413382e-7,,,,,,,,,,
1530.0129,,,3.68621329e-7,,,,,,,,,
1530.0132,,,,,1.497661941e-7,,,5.742321036e-7,,,,
1530.0134,,,,,,,,,4.043790227e-7,2.438385707e-7,,
1530.0182000000002,,,,,,1.236546012e-7,,,,,,
1530.0186,,,,,,,,,,,1.47620014e-7,
1530.0191,9.014255511e-7,,,1.04160641e-7,,,,,,,,
1530.0194000000001,,,,,,,8.138157455e-7,,,,,7.7334299e-8
1530.0196,,5.170221584e-7,,,,,,,,,,
1530.0199000000002,,,3.757735954e-7,,,,,,,,,
1530.0201,,,,,9.61125224e-8,,,5.760219892e-7,,,,
1530.0203000000001,,,,,,,,,3.936506232e-7,2.356099884e-7,,
1530.0277,,,,,,1.483348768e-7,,,,,,
1530.0282,,,,,,,,,,,1.418956543e-7,
1530.0285999999999,9.264548453e-7,,,,,,,,,,,
1530.0288,,,,,,,8.281193686e-7,,,,,
1530.0289,,,,1.37604431e-7,,,,,,,,
1530.0290000000002,,,,,,,,,,,,9.28929111e-8
1530.0291,,,3.507406632e-7,,,,,,,,,
1530.0292,,5.18804768e-7,,,,,,,,,,
1530.0296,,,,,1.057695371e-7,,,,,,,
1530.0297,,,,,,,,5.849577747e-7,,,,
1530.0299,,,,,,,,,3.614690627e-7,,,
